date,ticker,n_comments,sentiment,users_holding,users_holding_lead,users_holding_lag,percent_change
2020-03-28,SABR,0,none,6583,6488,6584,-0.014580801944106936
2020-05-27,MARA,0,none,6036,6087,6111,-0.003927344133529687
2020-03-22,ASM,0,none,9440,9615,9440,0.018538135593220373
2020-04-03,AYTU,0,none,38376,38301,37795,0.013388014287604166
2020-03-21,ICLN,0,none,13337,13327,13343,-0.0011991306302930882
2020-03-18,NAKD,0,none,7989,7971,8010,-0.004868913857677848
2020-03-03,NOVN,0,none,3724,3583,2300,0.5578260869565217
2020-05-08,ATNM,0,none,16002,16197,16025,0.010733229329173088
2020-04-23,NOVN,0,none,10781,10720,10800,-0.007407407407407418
2020-03-03,JE,0,none,5663,5695,5586,0.01951306838524891
2020-05-21,MEIP,0,none,4047,4059,4029,0.007446016381235987
2020-04-24,BORR,0,none,9072,9457,8727,0.08364844734731292
2020-03-27,JE,0,none,6613,6700,6504,0.030135301353013455
2020-05-19,NOVN,0,none,11219,13775,11247,0.2247710500577933
2020-03-27,DENN,0,none,3239,3526,2821,0.2499113789436369
2020-05-26,MEIP,0,none,4117,4089,4059,0.007390983000739038
2020-04-11,ASM,0,none,9732,9842,9732,0.0113029182079738
2020-05-11,ATHX,0,none,10385,10121,10460,-0.03240917782026764
2020-05-15,CDEV,0,none,13017,12797,13112,-0.0240237949969494
2020-05-02,HUSA,0,none,34128,34044,34128,-0.0024613220815752346
2020-05-26,RIG,0,none,23307,23213,23342,-0.00552651872161769
2020-03-24,NEX,0,none,1386,1561,1350,0.15629629629629638
2020-04-17,NGD,0,none,16973,16988,17310,-0.018601964182553443
2020-05-01,RHHBY,0,none,18260,20745,18379,0.12873388105990524
2020-04-17,VWAGY,0,none,10297,10517,10140,0.03717948717948727
2020-03-19,CLSK,0,none,549,579,549,0.05464480874316946
2020-03-09,MRNS,0,none,4975,5029,5034,-9.932459276916772e-4
2020-03-25,BYD,0,none,3252,3451,2993,0.15302372201804215
2020-05-07,GERN,0,none,31897,31708,31925,-0.006797180892717303
2020-05-02,ONTX,0,none,29621,29772,29623,0.005029875434628517
2020-04-19,TRVN,0,none,8049,8070,8049,0.002609019754006736
2020-03-31,BNTX,0,none,9202,9000,9339,-0.0362993896562801
2020-05-19,SDIV,0,none,8626,8772,8526,0.02885292047853616
2020-05-08,AXAS,0,none,27267,27067,27389,-0.011756544598196306
2020-05-26,APPN,0,none,16209,16150,16053,0.006042484270852855
2020-03-23,NXTD,0,none,14544,14607,14416,0.013249167591564914
2020-03-30,STOR,0,none,9953,10156,9867,0.02928955102868147
2020-04-29,DGLY,0,none,1853,1882,1861,0.011284255776464303
2020-04-06,BKYI,0,none,3072,2982,3120,-0.044230769230769185
2020-05-25,HL,0,none,5386,5645,5389,0.047504175171645846
2020-05-07,AXAS,0,none,27389,27067,27604,-0.01945370236197652
2020-04-06,RCUS,0,none,901,908,904,0.004424778761061843
2020-04-29,GNC,0,none,26286,27659,25400,0.0889370078740157
2020-03-25,DFEN,0,none,3387,4454,2707,0.6453638714444034
2020-03-04,MTL-,0,none,3858,3820,3890,-0.01799485861182515
2020-04-24,BLNK,0,none,14464,14456,14483,-0.0018642546433750296
2020-04-25,GTE,0,none,10538,11040,10538,0.047637122793698916
2020-03-24,VLO,0,none,6899,7817,6367,0.22773676770849693
2020-04-17,APLE,0,none,26315,26802,25972,0.03195749268442949
2020-04-01,AZUL,0,none,6770,7039,6509,0.0814257182362883
2020-04-08,MRNS,0,none,5769,5820,5728,0.0160614525139664
2020-04-01,RDS.B,0,none,14196,14467,14243,0.01572702380116553
2020-05-23,GLBS,0,none,2624,2624,2624,0
